displayUserNick,auctionSku,rateDate,rateContent
3***7,颜色分类:68 深蓝色;尺寸:160/66A/M,2021-02-26 19:19:53,一直相信优衣库
f***8,颜色分类:65 宝蓝色;尺寸:160/70A/L,2021-02-26 09:43:32,弹力大，穿着舒适
s***g,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-23 15:47:17,好
于***6,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-02-21 20:47:05,好评
陈***8,颜色分类:68 深蓝色;尺寸:160/70A/L,2021-02-20 13:30:59,第二次购买还行就那样吧挺好的，
z***9,颜色分类:65 宝蓝色;尺寸:160/66A/M,2021-02-18 23:28:53,棒棒哒～
l***y,颜色分类:68 深蓝色;尺寸:170/82A/XXL,2021-02-13 15:37:05,很好
a***1,颜色分类:68 深蓝色;尺寸:165/78A/XL,2021-02-08 18:09:33,很满意
