displayUserNick,auctionSku,rateDate,rateContent
k***5,颜色分类:52 翠绿色;尺码:165/92A/XL,2021-02-16 12:08:14,好评！
蓝***0,颜色分类:14 玛瑙红色;尺码:175/108C/XXXL,2021-02-07 18:13:52,衣服质量一如既往的好，大小也很合适，还会继续关注。
典***6,颜色分类:14 玛瑙红色;尺码:175/108C/XXXL,2021-02-04 13:38:11,遇到一个很赖皮的，说在我家丢失一件，碎碎念念很久，赔了她一件，这种人真不想再见
1***艳,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-27 12:51:40,质量不错，跟实体一样
j***8,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-01-25 10:39:48,颜色没有那么鲜好看
j***8,颜色分类:14 玛瑙红色;尺码:160/84A/M,2021-01-25 10:39:48,颜色没有那么鲜好看
樱***q,颜色分类:71 浅蓝紫色;尺码:170/100B/XXL,2021-01-18 16:29:08,好评
y***o,颜色分类:14 玛瑙红色;尺码:165/92A/XL,2021-01-17 12:54:50,好看，之前在实体店买过一件黑色的，发现套羽绒服穿挺好，热的时候把羽绒服脱了，大小尺码正好。冷的时候加上，不用频繁洗羽绒服
t***4,颜色分类:41 杏黄色;尺码:175/108C/XXXL,2020-12-15 16:35:38,很好
