displayUserNick,auctionSku,rateDate,rateContent
c***t,颜色分类:56 橄榄色;尺码:160/88A/L,2021-01-25 14:57:23,一直想买个新的羽绒服，看了很多牌子，1000-2000大洋的，不是说那些不好看，但没让我觉得想下手。某天瞎逛到这款，看了评价的图片，觉得999这个价格性价比很高，而且符合我简约的想法，我也不喜欢毛领，刚好也没有。又可以7天无理由退换，于是就给我和家人各下单一件。虽然评论有人888元买的，我感觉我不可能碰到降价到888了。2件羽绒服分别从太原、苏州寄过来。我猜测太原的是卖场里的，虽然包装简陋，好在东西看着没问题。我就都确认收货了。橄榄绿已经穿一周了，没有出毛问题。袖口、帽子合适。我166/56kg，长度到膝盖吧。各方面很满意。
m***君,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-24 22:21:51,挺好的，码数合适，贴身柔软，活动的时候也不会感觉臃肿。
c***6,颜色分类:56 橄榄色;尺码:165/92A/XL,2021-01-24 20:15:37,物流给力 品质保障 很暖和  喜欢的颜色 穿着合适 赞 谢谢
1***地,颜色分类:09 黑色;尺码:155/80A/S,2021-01-24 18:18:04,很好看耶，而且还暖和
悲***海,颜色分类:09 黑色;尺码:160/88A/L,2021-01-24 16:25:01,羽绒服还不错，妈妈挺喜欢的。充绒量高，蓬松度好，保暖性也不错。
杜***8,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-24 16:20:23,还行
欢***雨,颜色分类:09 黑色;尺码:155/80A/S,2021-01-24 15:36:15,优衣库的粉丝，衣服几乎都是优衣库的
t***8,颜色分类:56 橄榄色;尺码:170/100B/XXL,2021-01-24 12:36:02,"整体评价：是正品，厚实，手感松软，轻盈，版型好看，有羽绒服正常的轻微鸭绒味，颜色是和图片一样好看的橄榄色，是我想要的样子，还没上身穿过，包装有改进，外面一个纸箱，里面加了一个塑料袋，虽然收到时纸箱有一个破洞，但里面的袋子没破，整体满意。身高170,体重133斤，XL码。"
雪***9,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-24 11:26:05,很暖和
z***6,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-24 10:55:29,满意赞赞赞
t***8,颜色分类:02 浅灰色;尺码:170/100B/XXL,2021-01-24 07:56:31,好好好
胥***0,颜色分类:02 浅灰色;尺码:155/80A/S,2021-01-23 18:35:15,衣服多处有脏的，吊牌也是折了要烂了，感觉是别人退回来的，手袖和衣摆都有脏的。包装也是太差了，几十块钱才这样包装。
余***1,颜色分类:56 橄榄色;尺码:160/84A/M,2021-01-23 17:43:56,满意，太满意了！优衣库风格适合低调简单大气含蓄得体
t***0,颜色分类:09 黑色;尺码:160/84A/M,2021-01-23 16:22:41,设计的很好，衣服很轻也很暖和。
墨***8,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-23 11:28:45,设计相对宽松，可以买小一码
t***2,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-22 22:09:48,厚实 蓬松 就是感觉面料不透气
金***r,颜色分类:09 黑色;尺码:160/88A/L,2021-01-22 19:37:55,很好
美***群,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-22 18:18:44,很轻很软 很舒服
t***8,颜色分类:69 藏青色;尺码:155/80A/S,2021-01-22 16:28:07,质量不错，版型修身，154高，100斤穿小码合身
l***3,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-01-22 11:43:03,给婆婆买的，她很喜欢，很厚实
l***l,颜色分类:09 黑色;尺码:160/84A/M,2021-01-22 09:05:36,实体店没有黑色，在网上看到下单，选择M号稍微宽松点，衣服很暖和！
t***1,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-22 08:31:54,上海最冷的几天全靠它啦 保暖很好 身高169 体重53公斤 穿这个码正合适
平***4,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-21 22:24:43,今年冬天是真冷，坐骨神经被冻疼，所以入手了这款长羽绒服，身高1.58体重111，很合适。
l***f,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-21 21:47:40,想著裡面可以再穿多點，買大了一碼，很寬鬆，等再降溫了。當時拍的時候黑色沒貨了，今天一看又有了。價格都是999。不想折騰換貨了。
谢***k,颜色分类:09 黑色;尺码:160/84A/M,2021-01-21 14:48:41,之前在店铺试了的，然后在官网下的单。比较蓬松，修身效果也可以，挺好看的。我身高166体重48，拍的m。拍下的价格888
霓***光,颜色分类:56 橄榄色;尺码:170/100B/XXL,2021-01-21 14:31:06,此用户没有填写评论!
f***7,颜色分类:09 黑色;尺码:160/84A/M,2021-01-21 12:44:46,我的身高体重：160  100 整体评价：基础款 休闲 版型风格：修身 材质厚度：轻薄  保暖  搭配建议：买了**D的，材质不太一样。对比了下，优衣库得款式基础，但是保暖好也轻薄
o***2,颜色分类:56 橄榄色;尺码:165/92A/XL,2021-01-21 09:16:51,老人超满意
c***水,颜色分类:69 藏青色;尺码:170/100B/XXL,2021-01-21 08:47:12,宝贝轻暖，老人家喜欢，好评！
a***a,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-21 08:00:42,保暖不错，厚实，舒服
丝***8,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-21 00:18:13,质量很好  特别保暖 妈妈很喜欢
秀***3,颜色分类:69 藏青色;尺码:165/92A/XL,2021-01-20 22:03:54,很好！
都***儿,颜色分类:02 浅灰色;尺码:160/88A/L,2021-01-20 21:10:41,柔软暖和！赞一个
c***o,颜色分类:09 黑色;尺码:155/80A/S,2021-01-20 21:10:36,容易吸脏东西，有点失望，不是很推荐
_***花,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-20 16:56:23,送妈**，很保暖，她很喜欢。
t***9,颜色分类:56 橄榄色;尺码:170/100B/XXL,2021-01-20 15:52:12,效果不好！
t***9,颜色分类:09 黑色;尺码:175/108C/XXXL,2021-01-20 15:51:47,出绒
j***4,颜色分类:09 黑色;尺码:150/76A/XS,2021-01-20 15:08:13,终于抢到了xs，大小合适，充绒量不高，比较蓬松
m***2,颜色分类:09 黑色;尺码:155/80A/S,2021-01-20 10:32:29,挺暖和的，款式简单大方
y***6,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-20 07:56:49,还不错
o***板,颜色分类:56 橄榄色;尺码:165/92A/XL,2021-01-20 07:53:28,满意
乱***兮,颜色分类:02 浅灰色;尺码:165/92A/XL,2021-01-19 20:23:30,可惜等不到降699，白色容易脏
迷***y,颜色分类:09 黑色;尺码:160/88A/L,2021-01-19 18:56:43,宝贝收到，物流很快，描述相符，比较满意，好评，推荐宝贝收到了，太惊喜了，质量非常好，性价比很高，真是出乎我的意料！  想要时髦时尚的可另选，这就是常规穿穿
还***你,颜色分类:09 黑色;尺码:160/84A/M,2021-01-19 17:33:01,挺好的
陈***8,颜色分类:09 黑色;尺码:170/100B/XXL,2021-01-19 17:27:39,为什么不同意换货，答非所问
会***宝,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-19 17:09:58,衣服很好，但是包里有个用过的口罩，无语。发货之前都不检查一下的吗？现在疫情还没完，瑟瑟发抖。
y***6,颜色分类:09 黑色;尺码:160/88A/L,2021-01-19 15:22:47,简单保暖
陈***2,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-19 14:02:55,好
独***0,颜色分类:02 浅灰色;尺码:160/84A/M,2021-01-19 11:33:15,此用户没有填写评论!
t***4,颜色分类:09 黑色;尺码:160/88A/L,2021-01-19 09:33:50,好评好评好评好评好评好评好评好评好评好评
喔***土,颜色分类:69 藏青色;尺码:160/84A/M,2021-01-19 08:30:58,基本款-耐看，会搭的永远不过时。质量对🉐️主这价钱了。
t***9,颜色分类:02 浅灰色;尺码:175/108C/XXXL,2021-01-18 16:47:12,出绒效果不好！
y***3,颜色分类:56 橄榄色;尺码:165/92A/XL,2021-01-18 15:18:43,偏大一点
大***哥,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-18 14:47:51,准确 无 适中 好 好
m***徒,颜色分类:09 黑色;尺码:155/80A/S,2021-01-18 14:46:58,买给妈**，款式非常合身，效果非常棒
r***2,颜色分类:02 浅灰色;尺码:155/80A/S,2021-01-18 14:24:38,不错！
潘***珠,颜色分类:09 黑色;尺码:165/92A/XL,2021-01-18 12:25:42,轻巧舒适，888买的划算
k***9,颜色分类:56 橄榄色;尺码:160/88A/L,2021-01-18 11:35:24,送朋友的，很好
y***贝,颜色分类:09 黑色;尺码:160/84A/M,2021-01-18 11:11:58,很暖和  修身有型
无***生,颜色分类:69 藏青色;尺码:160/88A/L,2021-01-18 10:26:56,东西好，物流太差，纸盒子破了个大洞，没有用塑料袋罩住衣服。衣服就直接装在纸盒子里。
