displayUserNick,auctionSku,rateDate,rateContent
t***8,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-27 12:35:52,好
美***觉,颜色分类:38 深褐色;尺码:155/80A/S,2021-02-24 16:05:08,略薄，但是上身效果还行
e***7,颜色分类:41 杏黄色;尺码:160/84A/M,2021-02-23 11:53:14,很嫩的黄，领子比较可爱，其他没觉得设计在哪
宋***5,颜色分类:38 深褐色;尺码:165/92A/XL,2021-02-21 13:17:08,衬衣已收到，质量很好，价格实惠，有需要继续回购
傅***橱,颜色分类:41 杏黄色;尺码:170/100B/XXL,2021-02-21 12:42:59,衣服非常棒，一直是这个牌子的忠实粉丝。由其是合作品牌的女式棉衬衣又时尚又低调又有内涵。
t***9,颜色分类:38 深褐色;尺码:170/100B/XXL,2021-02-17 20:52:42,穿着效果不错，是我想要的范儿
1***a,颜色分类:41 杏黄色;尺码:160/84A/M,2021-02-15 11:25:05,好看
