displayUserNick,auctionSku,rateDate,rateContent
y***2,颜色:09 黑色;尺码:170/92A/M,2021-03-04 18:10:00,一般
o***i,颜色:09 黑色;尺码:170/92A/M,2021-03-03 10:50:04,衣服挺好的，除了买完发现又要活动降价，心疼我的一百块。
真***吧,颜色:68 深蓝色;尺码:170/92A/M,2021-02-28 16:00:47,太薄了，不值这个价，等降价再入手比较好
t***6,颜色:09 黑色;尺码:165/84A/S,2021-02-27 13:38:21,此用户没有填写评论!
t***1,颜色:68 深蓝色;尺码:180/108B/XL,2021-02-27 12:57:17,尺码很合适，非常帅气，本来十里八乡最挫的我，穿上这款，瞬间爆炸！
z***x,颜色:35 浅褐色;尺码:175/100A/L,2021-02-26 10:45:27,送来的衣服质量很不错、马上开春就能穿了～赞
