displayUserNick,auctionSku,rateDate,rateContent
x***e,颜色:69 藏青色;尺码:185/120C/XXXL,2021-03-04 07:23:11,质量可以，重量轻又保暖
j***7,颜色:09 黑色;尺码:175/100A/L,2021-03-03 15:43:56,以前总买淘宝便宜货，这次买了优衣库的，发现质量差别真的大啊，这做工极其到位，款型好，尺码也特别合适，很满意😂。
清***1,颜色:32 深米色;尺码:180/108B/XL,2021-02-28 07:24:37,很薄一层羽绒，适合初穿，面料不错上身挺括有型。内搭也是优衣库。我家小崽儿190/80kg，这个码合适
l***d,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-27 22:57:26,蛮好，店里没有这个码，到货发现很合适。180高，180斤。面料质感很好，挺括有型，藏青色也适合老年人
y***g,颜色:69 藏青色;尺码:175/100A/L,2021-02-26 14:53:48,版型不错，厚度算适中吧，毕竟不是羽绒服，也很满意了，不过这个颜色有点吸毛，这个材质倒是也好打理
嘎***崽,颜色:09 黑色;尺码:175/100A/L,2021-02-22 21:29:26,给无用的客服的，看到差价不能退
w***2,颜色:32 深米色;尺码:175/100A/L,2021-02-21 15:14:39,领子再薄一点就完美了😁
北***灯,颜色:32 深米色;尺码:185/112C/XXL,2021-02-20 22:27:38,很不错的衣服，很喜欢
y***2,颜色:69 藏青色;尺码:180/108B/XL,2021-02-19 20:53:21,给亲戚买的，评价不错，尺码偏大一码
y***2,颜色:69 藏青色;尺码:175/100A/L,2021-02-19 20:53:21,给亲戚买的，评价不错，尺码偏大一码
y***2,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-19 20:53:21,给亲戚买的，评价不错，尺码偏大一码
c***e,颜色:08 深灰色;尺码:180/108B/XL,2021-02-19 11:16:50,很适合春秋季穿
长***易,颜色:32 深米色;尺码:175/100A/L,2021-02-18 19:45:28,此用户没有填写评论!
y***e,颜色:08 深灰色;尺码:170/92A/M,2021-02-15 21:43:21,给老公买的，还可以
拿***酥,颜色:09 黑色;尺码:165/84A/S,2021-02-14 22:56:51,蛮好的，价格合适就入手了，一次不错的购物体验！
u***y,颜色:09 黑色;尺码:180/108B/XL,2021-02-12 10:52:03,不错，挺好的
巩***8,颜色:69 藏青色;尺码:175/100A/L,2021-02-12 01:35:01,穿着舒服，快递挺快价钱合适
x***7,颜色:69 藏青色;尺码:185/120C/XXXL,2021-02-11 13:15:16,一次订了两件，一件3xl灰色、4xl藏蓝色，老公喜欢藏蓝色但尺码有些大，灰色尺码合适但颜色不是他喜欢的，索性就又下单啦一件藏蓝色3xl，另外两件申请退货，退货飞快，没想到的是最后订的藏蓝色3xl居然在年三十也收到啦，明天拜年就能穿上，不得不说优衣库大牌，🐮！
z***5,颜色:09 黑色;尺码:170/92A/M,2021-02-11 12:16:45,款式简洁大方，可惜没有深灰色，买了件黑色，还行
l***y,颜色:69 藏青色;尺码:180/108B/XL,2021-02-10 20:57:51,好
嗨***你,颜色:69 藏青色;尺码:185/112C/XXL,2021-02-10 15:49:30,不错哦
x***2,颜色:09 黑色;尺码:185/120C/XXXL,2021-02-10 12:51:12,老公1.82.100kg穿上正好，再也不用发愁给他买衣服了，以后就这家了
