displayUserNick,auctionSku,rateDate,rateContent
战***n,颜色:01 乳白色;尺码:165/84A/S,2021-01-16 20:17:39,非常好~！
j***z,颜色:63 天蓝色;尺码:175/100A/L,2020-10-16 21:59:35,预备备，一年一度剁手开始。
l***1,颜色:63 天蓝色;尺码:165/84A/S,2020-10-14 21:19:01,质量很一般，很多线头，在家剪了很久，而且皱皱巴巴，感觉像别人穿过退货的。买了很多次优衣库衣服，这种问题第一次遇到！
m***8,颜色:63 天蓝色;尺码:175/100A/L,2020-10-06 18:31:02,此用户没有填写评论!
叶***恋,颜色:01 乳白色;尺码:170/92A/M,2020-10-04 14:19:47,很不错
叶***恋,颜色:63 天蓝色;尺码:170/92A/M,2020-10-04 14:19:47,很不错
我***落,颜色:69 藏青色;尺码:180/108B/XL,2020-09-14 23:57:07,整体评价：非常好，大小合适，穿上舒服。190/89kg，XL码合身
滺***心,颜色:63 天蓝色;尺码:180/108B/XL,2020-09-06 19:08:54,给先生买的，近期买了十几件衣品，无限满意！给先生买的，近期买了十几件衣品，无限满意！给先生买的，近期买了十几件衣品，无限满意！给先生买的，近期买了十几件衣品，无限满意！给先生买的，近期买了十几件衣品，无限满意！
r***6,颜色:63 天蓝色;尺码:180/108B/XL,2020-08-27 21:14:20,这个蓝色衬衣上面是有小点点花纹的，不好看
b***d,颜色:63 天蓝色;尺码:175/100A/L,2020-07-15 19:01:05,此用户没有填写评论!
f***5,颜色:63 天蓝色;尺码:170/92A/M,2020-07-02 10:10:24,夏天穿长袖衬衫在空调房里脖子、手肘都受到了保护，而且男装宽松休闲，配上弹力裤或者短裤，超赞
安***y,颜色:63 天蓝色;尺码:175/100A/L,2020-06-23 01:16:08,一如既往的喜欢
四***e,颜色:69 藏青色;尺码:170/92A/M,2020-05-18 21:54:40,肩部偏大
得***命,颜色:69 藏青色;尺码:175/100A/L,2020-05-14 18:39:56,衬衫不错
月***妹,颜色:63 天蓝色;尺码:185/120C/XXXL,2020-05-13 19:48:06,质量不错，衣服尺码很足，老公穿着微微大。实体没有这么大码的。
郑***子,颜色:63 天蓝色;尺码:175/100A/L,2020-05-08 20:55:06,此用户没有填写评论!
冰***5,颜色:69 藏青色;尺码:175/100A/L,2020-04-19 10:11:07,已经多次购买优衣库的男士衬衣了，感觉这种点点的都买了几件了😂没办法，老公适合这种类型的，希望以后多做些活动。每次购买都是自己下单基本没和客服沟通。
李***5,颜色:63 天蓝色;尺码:175/100A/L,2020-04-14 12:05:36,这件衬衣买大了&hellip;&hellip;老公不愿意穿，哈哈哈，看来只能我来穿了，蛮好看的呢
c***9,颜色:63 天蓝色;尺码:175/100A/L,2020-04-01 08:52:54,大大大。。。。。
j***s,颜色:63 天蓝色;尺码:175/100A/L,2020-03-28 06:50:53,非常喜欢，满星好评！
许***火,颜色:01 乳白色;尺码:175/100A/L,2020-03-25 06:48:00,还是熟悉的优衣库，简洁，质量过关，料子舒服
烟***7,颜色:63 天蓝色;尺码:185/128C/XXXXL,2020-03-19 20:53:04,不透明，很喜欢
柠***美,颜色:01 乳白色;尺码:170/92A/M,2020-03-03 09:27:38,不错，面料下水更舒服
l***4,颜色:69 藏青色;尺码:170/92A/M,2020-01-21 16:31:41,衣服不错，就是客服全是机器人，咨询的问题一个也没回答到点上
d***k,颜色:69 藏青色;尺码:185/120C/XXXL,2020-01-06 22:10:46,很喜欢这款衬衫，真的很好。
诺***康,颜色:63 天蓝色;尺码:175/100A/L,2019-12-23 09:28:21,颜色与图片有差、这批做工水准很赞。希望继续保持、偶然入手一两件单品还可以。
