displayUserNick,auctionSku,rateDate,rateContent
t***醒,颜色:66 蓝色;尺码:160/76A/XS,2021-03-02 23:56:59,好评
z***6,颜色:66 蓝色;尺码:185/120C/XXXL,2021-02-28 20:47:05,都挺好！
浓***沉,颜色:66 蓝色;尺码:175/100A/L,2021-02-15 21:04:13,宝贝与描述基本一致，发货很快，值得一买非常好，宝贝很高大上，质量很好，看上去就给人一种高级感，价格也合适，这次网购很愉快，大赞👍
雀***民,颜色:66 蓝色;尺码:170/92A/M,2021-02-01 23:06:33,非常非常好
少***1,颜色:66 蓝色;尺码:175/100A/L,2021-01-31 18:36:08,外包装袋脏兮兮的像从垃圾堆里扒出来的就不说了，里面一层包装也烂了，百十块钱的衣服还不如地摊货。体验最差的一次，快递到市里停滞了三天才送，不知道发生了什么？？？不要拿特殊时期做借口，疫情不背你们服务的锅。 线上线下在优衣库买的衬衫没有10件也有8件了，这次最差。
h***i,颜色:66 蓝色;尺码:175/100A/L,2021-01-27 20:07:20,价格优惠很好
s***n,颜色:66 蓝色;尺码:160/76A/XS,2021-01-04 14:49:46,手感好，显得很斯文
s***5,颜色:66 蓝色;尺码:160/76A/XS,2020-12-14 18:28:18,很好，就是薄了一点
