displayUserNick,auctionSku,rateDate,rateContent
俞***蓉,颜色分类:13 玫红色;尺码:165/92A/XL,2021-02-22 18:37:01,穿着很合身，颜色也好看，实体店只有L码，网上有XL，果断入
t***1,颜色分类:09 黑色;尺码:165/92A/XL,2021-02-19 13:11:51,版型好，尺码略大宽松，长度合适
月***s,颜色分类:10 水粉色;尺码:170/100B/XXL,2021-02-19 11:07:10,面料舒服 就是太容易皱了
t***3,颜色分类:13 玫红色;尺码:150/76A/XS,2021-02-18 12:04:39,还挺貌美
y***3,颜色分类:13 玫红色;尺码:155/80A/S,2021-02-12 05:13:41,此用户没有填写评论!
佚***鸣,颜色分类:09 黑色;尺码:150/76A/XS,2021-02-10 07:54:11,整体评价：干净利落，帅气大气 感谢优衣库坚持出xs，让我能买到合身的衣服。要是线下也能有xs就更好了。不过好在优衣库线上线下打通了，物流也快。总之，做的很好。 面料材质：尽享丝滑
s***y,颜色分类:10 水粉色;尺码:165/92A/XL,2021-02-07 20:24:30,在实体店看到，网上搞活动就直接买了
尼***亚,颜色分类:13 玫红色;尺码:160/84A/M,2021-02-07 11:24:43,居然打折啦，好开心，果断拿下。期待天气热起来。
l***8,颜色分类:13 玫红色;尺码:155/80A/S,2021-02-06 00:01:04,面料很舒服，感觉不太会起皱，颜色好看
米***i,颜色分类:09 黑色;尺码:160/88A/L,2021-02-05 12:37:49,会缩水
z***x,颜色分类:10 水粉色;尺码:160/88A/L,2021-02-04 11:17:56,此用户没有填写评论!
上***丰,颜色分类:13 玫红色;尺码:155/80A/S,2021-02-02 18:05:23,很好
z***5,颜色分类:13 玫红色;尺码:150/76A/XS,2021-01-31 17:22:47,实物没图片亮，玫红色不艳显白。
w***5,颜色分类:10 水粉色;尺码:150/76A/XS,2021-01-30 17:29:35,此用户没有填写评论!
2***g,颜色分类:10 水粉色;尺码:150/76A/XS,2021-01-27 21:21:32,在店里试了没有xs 立马网上看  还好有  太爱这个颜色/款式 网上还便宜
z***8,颜色分类:10 水粉色;尺码:155/80A/S,2021-01-21 22:32:11,在实体店比较价格后购买，不用说质量可以
h***1,颜色分类:13 玫红色;尺码:160/88A/L,2021-01-08 21:01:56,码数有点偏大，没洗，不知道缩水不，颜色好看显白，面料也很好。
v***7,颜色分类:13 玫红色;尺码:170/100B/XXL,2021-01-01 17:31:44,好评
t***3,颜色分类:13 玫红色;尺码:165/92A/XL,2020-12-29 16:11:23,送回阿姨的，阿姨很喜欢
张***y,颜色分类:10 水粉色;尺码:150/76A/XS,2020-12-20 09:52:42,155  85斤，xs合适，配浅色风衣好看的。
